match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
3806873564,3306241977,31,18.0,1522390582,1474,2,,107,3,63,516,1983,6,22,True
6673680369,5581050493,50,5.0,1658545777,1495,2,,116,63,15,2046,1590,40,9,False
4948772848,4151474723,41,13.0,1565005140,845,2,,12,63,63,2036,2047,7,27,True
3731376121,3241414447,27,2.0,1518475987,1200,2,,255,51,63,1540,1599,7,28,True
3845146616,3341441930,32,18.0,1524380261,1906,2,,112,48,63,1920,1847,16,33,True
3093841919,2701696783,23,5.0,1491142401,1400,2,,119,48,63,1792,2047,11,33,True
8447870954,7095881334,58,8.0,1757079514,1976,2,,153,63,51,2038,1542,51,24,False
5456283648,4572891969,45,13.0,1591419556,1634,2,,7,63,63,1846,1926,38,26,False
8375519225,7035169818,58,8.0,1752587007,1757,2,,39,15,63,1542,1972,16,43,True
5412243467,4536910973,45,10.0,1589331843,2412,2,,4,63,3,1974,1540,32,20,False
6930057216,5811715092,51,3.0,1671663283,1451,2,,202,63,63,1828,2047,7,43,True
3537389564,3077761398,26,7.0,1509617242,1928,2,,224,0,63,0,1983,26,35,True
4124592132,3574839391,38,3.0,1537274294,1621,2,,219,63,51,2046,390,28,10,False
5896685571,4950649453,47,2.0,1616192056,2303,2,,189,48,63,1792,1846,18,33,True
8028964883,6752842288,56,8.0,1731240312,1224,2,,5,3,63,1540,2047,7,38,True
6090672148,5098611786,48,5.0,1626421509,1745,2,,101,63,51,1982,1920,42,27,False
8064092180,6781979925,56,3.0,1733146313,1934,2,,61,0,63,1536,1846,15,47,True
7449102355,6267204169,53,3.0,1700474193,1702,2,,124,0,63,1536,1983,7,27,True
8408549383,7062678789,58,8.0,1754682416,2350,2,,0,0,63,0,1982,22,49,True
6207588384,5191495410,49,3.0,1633279906,2345,2,,24,48,51,384,1796,42,49,True
7623165933,6416277555,54,3.0,1709711018,2573,2,,114,51,60,262,288,32,41,True
5311580193,4455611903,44,3.0,1585063424,1784,2,,103,2,63,1536,1982,9,32,True
3736094749,3245507499,28,10.0,1518728034,3377,2,,60,0,0,0,512,25,50,True
7287097378,6130642457,53,3.0,1692165973,2158,2,,145,0,63,0,1974,21,55,True
5096622101,4276154025,41,3.0,1572716529,2267,2,,83,63,0,2038,0,45,37,False
7761053727,6534838698,55,3.0,1716817766,2550,2,,61,63,19,1974,6,63,51,False
2346731552,2055314183,17,3.0,1462629598,2307,2,,280,59,63,1796,1972,12,31,True
8338294818,7004525848,58,3.0,1750154833,1504,2,,213,3,63,1540,1844,23,30,True
4257761316,3690593848,39,3.0,1544115533,1817,2,,98,0,63,1536,2044,28,40,True
3909634072,3392557503,34,3.0,1527090826,1768,2,,95,3,63,1540,2047,19,46,True
5031610419,4220572605,41,5.0,1568982886,1439,2,,0,63,63,1958,1974,28,31,True
7328516149,6167922701,53,3.0,1694348452,1916,2,,4,63,63,2038,1846,38,20,False
8473561139,7117420876,58,8.0,1758471738,3392,2,,127,3,63,0,1844,50,54,True
8518649912,7155108029,58,3.0,1760874472,1445,2,,79,63,3,2038,1543,55,26,False
4661463096,3953018323,40,16.0,1555499089,1815,2,,150,0,63,0,1983,11,29,True
2483046454,2170818585,18,12.0,1467703215,2441,2,,191,63,35,1924,6,33,26,False
7033866295,5905306596,51,15.0,1677349700,2446,2,,267,63,51,1958,260,17,18,False
6610765894,5525463329,50,13.0,1654867574,1235,2,,85,63,63,2046,1974,21,10,False
5704796229,4798333548,46,13.0,1605609210,2512,2,,120,63,3,1972,1542,28,16,False
2737326148,2388997098,18,3.0,1477555242,1848,2,,115,63,48,1974,1792,26,12,False
7287621691,6131112631,53,3.0,1692195322,2239,1,,10,0,63,0,1959,31,53,True
7644137540,6434024869,54,2.0,1710799780,1801,2,,0,63,63,390,1974,18,27,True
7545571399,6353044984,54,2.0,1705719597,1856,22,,0,16,63,1536,1983,12,43,True
7884785721,6634696101,56,15.0,1722989370,2079,2,,0,63,1,2038,1536,33,21,False
8513407019,7150716924,58,8.0,1760598969,1311,2,,0,51,63,1796,2039,24,53,True
8121763914,6828622297,56,3.0,1736467497,1678,2,,0,52,63,1920,1974,16,24,True
6495422546,5426837349,50,2.0,1648335335,3086,2,,0,63,51,1974,256,56,31,False
8486668361,7128354816,58,5.0,1759152743,1910,2,,7,63,3,1972,6,21,10,False
